Rk,Player,Age,Team,WAR,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,rOBA,Rbat+,TB,GIDP,HBP,SH,SF,IBB,Pos,Awards,Player-additional
227,Vidal Bruján#,27,2TM,0.1,59,94,86,14,21,5,0,0,8,2,1,6,21,0.244,0.298,0.302,0.6,73,0.268,69,26,1,1,0,1,0,H56/974D18,,brujavi01
227,Vidal Bruján#,27,CHC,-0.4,36,47,45,6,10,3,0,0,3,2,1,1,12,0.222,0.234,0.289,0.523,52,0.224,42,13,1,0,0,1,0,H5/749D68,,brujavi01
227,Vidal Bruján#,27,ATL,0.5,23,47,41,8,11,2,0,0,5,0,0,5,9,0.268,0.362,0.317,0.679,95,0.311,97,13,0,1,0,0,0,6/H591,,brujavi01
228,Jacob Stallings,35,COL,-0.9,28,93,84,4,12,3,0,0,6,0,0,5,31,0.143,0.217,0.179,0.396,8,0.188,-4,15,1,3,1,0,0,2/1H,,stallja01
229,Nasim Nuñez#,24,WSN,0.7,39,92,82,13,19,2,0,4,13,9,1,8,20,0.232,0.297,0.402,0.699,97,0.323,94,33,1,0,1,1,0,64H/8D,,nunezna01
230,Jeimer Candelario#,31,CIN,-0.9,22,91,80,3,9,2,0,2,10,0,1,9,29,0.113,0.198,0.213,0.41,13,0.185,2,17,1,0,0,2,0,5/3D,,candeje01
231,Garrett Hampson,30,3TM,-0.4,62,91,77,19,11,2,0,0,1,3,1,11,29,0.143,0.25,0.169,0.419,21,0.205,14,13,2,0,3,0,0,7H48/695D1,,hampsga01
231,Garrett Hampson,30,ARI,0.1,18,41,30,10,5,0,0,0,0,2,1,9,10,0.167,0.359,0.167,0.526,53,0.268,61,5,0,0,2,0,0,4/H6857,,hampsga01
231,Garrett Hampson,30,CIN,-0.2,9,19,18,0,3,1,0,0,0,0,0,1,6,0.167,0.211,0.222,0.433,19,0.187,-1,4,1,0,0,0,0,/748H56D,,hampsga01
231,Garrett Hampson,30,STL,-0.3,35,31,29,9,3,1,0,0,1,1,0,1,13,0.103,0.133,0.138,0.271,-22,0.133,-38,4,1,0,1,0,0,7H/986D145,,hampsga01
232,Andrew Knizner,30,SFG,0.3,33,88,77,12,17,1,1,1,5,0,0,7,10,0.221,0.299,0.299,0.598,72,0.312,101,23,0,2,1,1,0,2/DH,,kniznan01
233,Liover Peguero,24,PIT,0.2,33,88,80,9,16,1,0,4,8,4,0,6,25,0.2,0.273,0.363,0.635,74,0.302,79,29,3,2,0,0,0,6/3H4,,pegueli01
234,Ronny Simón#,25,2TM,-1.2,27,88,77,10,18,3,0,0,7,1,0,8,15,0.234,0.299,0.273,0.572,61,0.271,62,21,1,0,1,2,0,/47D9H6,,simonro01
234,Ronny Simón#,25,MIA,-0.7,19,56,47,6,11,2,0,0,5,0,0,7,7,0.234,0.327,0.277,0.604,71,0.295,80,13,1,0,1,1,0,/47D6H,,simonro01
